#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-15T20:52:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee72a26361	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/130/gcs3
#-nav=cat:V/130&tab:{V/130/gcs3}&key:source=V/130/gcs3&HTTPPRM:&&-ref=VIZ53ee72a26361&-out.max=unlimited&-out.form=ascii table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=m_Name&-out=RAJ2000&-out=DEJ2000&-out=logTe&-out=[Fe/H]&-out=Dist&-out=VMag&-out=age&-out=UVel&-out=VVel&-out=WVel&-out=Vmag&-out=b-y&-out=m1&-out=c1&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/130/gcs3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/130/gcs3
#-order=I
#-out=Name
#-out=m_Name
#-out=RAJ2000
#-out=DEJ2000
#-out=logTe
#-out=[Fe/H]
#-out=Dist
#-out=VMag
#-out=age
#-out=UVel
#-out=VVel
#-out=WVel
#-out=Vmag
#-out=b-y
#-out=m1
#-out=c1
#-out=Simbad
#

#RESOURCE=yCat_5130
#Name: V/130
#Title: Geneva-Copenhagen Survey of Solar neighbourhood III (Holmberg+, 2009)
#Table	V_130_gcs3:
#Name: V/130/gcs3
#Title: Geneva-Copenhagen catalogue III {\em(includes uvby data from Olsen 1984A\&AS...57..443O)}
#Column	Name	(a11)	Object name (HD, BD, CD or CP) (1)	[ucd=meta.id;meta.main]
#Column	m_Name	(A4)	Components included in photometry (2)	[ucd=meta.code.multip]
#Column	RAJ2000	(A10)	Right ascension (ICRF)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (ICRF)	[ucd=pos.eq.dec;meta.main]
#Column	logTe	(F6.3)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	Dist	(I4)	? Distance [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	VMag	(F5.2)	? Absolute magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	age	(F4.1)	? Age, in Gigayears	[ucd=time.age]
#Column	UVel	(I5)	? Heliocentric space velocity component U (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.x]
#Column	VVel	(I5)	? Heliocentric space velocity component V (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.y]
#Column	WVel	(I5)	? Heliocentric space velocity component W (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.z]
#Column	Vmag	(F6.3)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	b-y	(F6.3)	Stroemgren (b-y) index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	m1	(F6.3)	Stroemgren m_1_ index ((v-b) - (b-y))	[ucd=phot.color]
#Column	c1	(F6.3)	Stroemgren c_1_ index ((u-v) - (v-b))	[ucd=phot.color]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
Name	m_Name	RAJ2000	DEJ2000	logTe	[Fe/H]	Dist	VMag	age	UVel	VVel	WVel	Vmag	b-y	m1	c1	Simbad
HD 102136  	    	11 45 11.3	-40 44 45	 3.715	-0.32	  53	 5.76	    	  -35	  -13	   -5	 9.370	 0.482	 0.294	 0.283	Simbad
HD 102158  	    	11 45 30.5	+47 40 00	 3.759	-0.42	  49	 4.60	10.2	 -109	 -112	   13	 8.064	 0.394	 0.168	 0.303	Simbad
HD 102161  	    	11 45 31.4	+25 06 39	 3.759	-0.06	  85	 3.75	 7.5	  -19	  -27	   11	 8.404	 0.407	 0.197	 0.377	Simbad
HD 102165  	    	11 45 28.0	-21 28 26	 3.798	 0.32	  93	 2.96	 1.9	    4	  -19	   -3	 7.811	 0.329	 0.196	 0.479	Simbad
HD 102184  	    	11 45 27.4	-37 37 20	 3.809	-0.34	  66	 3.79	 1.8	  -42	  -51	   -8	 7.887	 0.287	 0.134	 0.412	Simbad
HD 102196  	    	11 45 38.4	-16 04 41	 3.787	 0.22	  96	 3.24	 2.5	  -10	  -24	    9	 8.156	 0.355	 0.199	 0.417	Simbad
HD 102200  	    	11 45 34.2	-46 03 46	 3.780	-1.21	  77	 4.31	 9.9	   89	 -142	   10	 8.738	 0.334	 0.085	 0.302	Simbad
HD 102201  	AB  	11 45 33.8	-47 13 41	 3.744	-0.02	  72	 3.97	10.6	  -42	  -42	  -14	 8.242	 0.438	 0.218	 0.396	Simbad
HD 102211  	    	11 45 48.7	+06 56 33	 3.807	-0.23	  67	 3.56	 2.6	     	     	     	 7.689	 0.295	 0.144	 0.416	Simbad
HD 102219  	    	11 45 40.6	-49 50 59	 3.791	 0.09	 128	 2.34	 1.9	     	     	     	 7.863	 0.340	 0.175	 0.500	Simbad
HD 102235  	    	11 45 44.7	-52 41 25	 3.840	-0.10	  96	 3.18	 0.5	     	     	     	 8.093	 0.220	 0.167	 0.626	Simbad
HD 102238  	    	11 45 31.9	-71 14 41	 3.748	-0.06	  48	 4.60	12.5	    0	   -9	  -13	 7.986	 0.429	 0.215	 0.369	Simbad
HD 102256  	    	11 46 06.6	-38 08 50	 3.757	-0.63	  50	 5.02	 7.0	   46	    5	  -20	 8.514	 0.393	 0.155	 0.268	Simbad
HD 102284  	AB  	11 46 21.0	-05 20 56	 3.837	-0.05	 204	 1.97	 1.3	  -50	  -14	  -20	 8.514	 0.227	 0.169	 0.688	Simbad
HD 102300  	    	11 46 27.5	-24 58 34	 3.784	-0.17	  56	 3.97	 4.3	   61	  -23	   37	 7.697	 0.346	 0.167	 0.348	Simbad
HD 102301  	    	11 46 21.0	-27 57 48	 3.799	 0.15	 101	 2.54	 1.9	     	     	     	 7.559	 0.322	 0.183	 0.427	Simbad
HD 102306  	    	11 46 04.2	-72 12 23	 3.685	 0.11	  68	 6.24	    	   -1	  -24	  -30	10.410	 0.549	 0.525	 0.264	Simbad
HD 102326  	A   	11 47 30.3	+77 02 23	 3.725	 0.01	  56	 4.99	    	   89	  -49	  -29	 8.747	 0.475	 0.294	 0.342	Simbad
HD 102331  	    	11 46 40.6	-03 44 32	 3.815	-0.20	  67	 3.43	 2.1	     	     	     	 7.569	 0.277	 0.145	 0.452	Simbad
HD 102342  	A   	11 47 00.7	+53 17 06	 3.775	-0.20	 133	 3.78	 6.2	  -15	  -28	    3	 9.399	 0.367	 0.162	 0.384	Simbad
HD 102346  	    	11 46 42.3	-19 28 11	 3.786	-0.08	  56	 4.43	    	  -32	  -10	  -15	 8.150	 0.344	 0.186	 0.321	Simbad
HD 102357  	    	11 47 00.9	+23 43 13	 3.791	-0.17	  36	 4.15	 1.9	  -13	   -4	    1	 6.951	 0.329	 0.161	 0.361	Simbad
HD 102361  	    	11 46 48.9	-21 28 29	 3.790	 0.22	  84	 3.55	 2.3	  -42	  -26	   -6	 8.160	 0.347	 0.200	 0.405	Simbad
BD +51 1696	    	11 46 35.1	+50 52 54	 3.748	-1.47	  78	 5.44	    	 -243	 -292	   53	 9.900	 0.399	 0.099	 0.175	Simbad
HD 102365  	A   	11 46 31.0	-40 30 01	 3.752	-0.33	   9	 5.07	 7.1	  -60	  -38	    5	 4.893	 0.412	 0.206	 0.277	Simbad
HD 102377  	    	11 47 00.0	-01 37 45	 3.820	-0.20	 148	 2.82	 2.0	     	     	     	 8.673	 0.266	 0.146	 0.526	Simbad
HD 102426  	    	11 47 32.9	+43 10 09	 3.775	 0.07	 116	 3.24	 3.2	   18	  -13	  -26	 8.555	 0.376	 0.186	 0.433	Simbad
HD 102427  	    	11 47 30.5	+39 55 40	 3.748	-0.03	 103	 3.58	 7.9	   26	    3	  -16	 8.640	 0.431	 0.207	 0.414	Simbad
HD 102428  	A   	11 47 28.3	+20 02 01	 3.801	-0.05	  93	 2.50	 2.1	   -5	   13	   -5	 7.333	 0.312	 0.159	 0.464	Simbad
HD 102437  	    	11 47 19.2	-29 29 33	 3.795	-0.05	 111	 2.81	 2.4	  -16	  -22	  -17	 8.042	 0.325	 0.161	 0.461	Simbad
HD 102438  	    	11 47 15.8	-30 17 11	 3.741	-0.40	  17	 5.27	11.6	   -8	  -28	  -14	 6.477	 0.432	 0.211	 0.280	Simbad
HD 102480  	    	11 47 52.8	+53 00 54	 3.845	 0.34	 229	 1.65	 0.9	   15	   -9	  -34	 8.452	 0.211	 0.204	 0.732	Simbad
HD 102540  	    	11 48 03.8	-35 13 31	 3.721	-0.44	  68	 2.93	    	  -32	  -27	  -31	 7.103	 0.469	 0.227	 0.312	Simbad
HD 102555  	    	11 48 25.2	+28 25 01	 3.827	 0.00	  79	 2.76	 1.5	  -30	  -19	    7	 7.238	 0.253	 0.168	 0.547	Simbad
HD 102570  	    	11 48 34.7	+46 07 48	 3.814	-0.23	  97	 3.41	 2.3	  -16	    6	  -16	 8.340	 0.279	 0.142	 0.487	Simbad
HD 102574  	A   	11 48 23.4	-10 18 47	 3.781	 0.18	  43	 3.08	 2.6	   -6	  -32	   -8	 6.250	 0.369	 0.197	 0.428	Simbad
HD 102578  	    	11 48 10.9	-58 13 16	 3.781	 0.29	  87	 2.41	 2.0	     	     	     	 7.114	 0.373	 0.203	 0.490	Simbad
HD 102579  	A   	11 48 02.1	-66 06 53	 3.718	 0.04	  35	 5.79	    	  -40	  -31	   17	 8.535	 0.489	 0.364	 0.304	Simbad
HD 102579  	B   	11 48 01.4	-66 06 46	      	     	  36	 7.20	    	  -39	  -36	   17	 9.985	 0.746	 0.764	 0.042	Simbad
HD 102582  	    	11 48 26.4	-23 05 26	 3.725	-0.33	  60	 3.55	 6.9	  -65	  -46	   -3	 7.435	 0.464	 0.228	 0.328	Simbad
HD 102588  	    	11 48 39.4	+36 29 25	 3.784	-0.06	  97	 3.39	 3.3	  -41	  -24	    9	 8.325	 0.351	 0.172	 0.388	Simbad
HD 102616  	A   	11 49 10.4	+67 19 42	      	     	  79	 2.96	    	   16	  -11	  -16	 7.449	 0.447	 0.286	 0.474	Simbad
HD 102616  	B   	11 49 10.5	+67 19 31	 3.838	 0.12	 264	 1.29	 1.0	     	     	     	 8.391	 0.226	 0.183	 0.740	Simbad
HD 102618  	    	11 48 51.2	+18 49 23	 3.778	-0.29	  69	 3.79	 6.6	  -17	   -4	  -49	 7.991	 0.357	 0.154	 0.358	Simbad
HD 102626  	    	11 48 58.0	+18 45 31	 3.844	-0.17	 210	 2.92	 1.3	     	     	     	 9.529	 0.208	 0.165	 0.656	Simbad
HD 102634  	    	11 49 01.2	-00 19 07	 3.794	 0.07	  35	 3.43	 2.6	  -30	  -15	   -7	 6.153	 0.331	 0.174	 0.440	Simbad
HD 102685  	    	11 48 56.5	-70 27 11	 3.809	-0.13	  92	 3.76	 0.9	  -13	  -26	   -6	 8.570	 0.293	 0.152	 0.436	Simbad
HD 102713  	    	11 49 41.7	+34 55 54	 3.802	-0.05	  69	 1.51	 1.2	  -29	  -15	  -31	 5.720	 0.310	 0.159	 0.500	Simbad
HD 102724  	    	11 49 32.5	-34 58 15	 3.774	-0.08	 331	 2.11	 2.4	     	     	     	 9.708	 0.373	 0.167	 0.490	Simbad
HD 102732  	    	11 49 44.5	+06 31 23	 3.764	-0.14	  82	 3.35	 5.7	   -3	  -44	  -19	 7.909	 0.394	 0.178	 0.390	Simbad
HD 102750  	AB  	11 49 43.0	-32 26 37	 3.788	-0.11	  74	 3.60	 3.5	  -26	  -16	   10	 7.952	 0.339	 0.165	 0.382	Simbad
HD 102778  	    	11 50 03.5	+42 43 12	 3.810	-0.16	  92	 3.51	 2.3	  -15	  -28	   -4	 8.331	 0.289	 0.149	 0.436	Simbad
HD 102804  	    	11 49 58.1	-56 16 19	 3.825	 0.14	 125	 3.36	    	     	     	     	 8.848	 0.261	 0.174	 0.477	Simbad
HD 102824  	    	11 50 20.9	+10 04 02	 3.783	 0.05	  92	 3.80	 3.4	  -31	  -23	  -12	 8.624	 0.358	 0.185	 0.393	Simbad
HD 102826  	    	11 50 18.6	-07 22 33	 3.805	 0.03	  98	 2.75	 2.1	  -13	  -22	   10	 7.712	 0.304	 0.171	 0.406	Simbad
HD 102828  	    	11 50 15.8	-19 36 18	 3.823	-0.24	 139	 2.43	 1.9	  -51	  -17	   -5	 8.144	 0.258	 0.148	 0.619	Simbad
HD 102844  	AB  	11 50 26.3	-02 25 06	 3.763	-0.04	  68	 3.68	 7.0	   -5	   -8	   -2	 7.852	 0.400	 0.190	 0.402	Simbad
HD 102855  	    	11 50 55.5	+75 21 21	 3.838	-0.12	 169	 1.90	 1.3	  -23	  -52	  -13	 8.032	 0.224	 0.165	 0.660	Simbad
HD 102856  	    	11 50 40.6	+61 13 47	 3.797	-0.31	 158	 3.17	 3.1	  -16	   -3	   18	 9.165	 0.313	 0.137	 0.441	Simbad
HD 102865  	    	11 50 25.7	-46 28 08	 3.825	-0.10	  98	 2.70	 1.8	     	     	     	 7.665	 0.256	 0.159	 0.540	Simbad
HD 102868  	    	11 50 43.6	+28 05 48	 3.811	-0.11	 112	 2.68	 2.1	  -37	  -11	  -24	 7.916	 0.287	 0.152	 0.499	Simbad
HD 102870  	A   	11 50 41.7	+01 45 53	 3.786	 0.11	  11	 3.41	 2.9	   40	    4	    6	 3.600	 0.353	 0.186	 0.416	Simbad
HD 102902  	    	11 50 42.0	-33 08 28	 3.731	-0.20	  82	 2.77	    	  -50	  -36	   -4	 7.355	 0.457	 0.229	 0.349	Simbad
HD 102968  	    	11 51 04.7	-60 10 35	 3.782	 0.10	  85	 3.06	 2.7	   34	  -19	   19	 7.697	 0.362	 0.181	 0.477	Simbad
HD 102982  	    	11 51 09.1	-51 52 32	 3.740	-0.63	    	     	    	     	     	     	 8.343	 0.428	 0.173	 0.282	Simbad
HD 102988  	    	11 51 24.7	+11 48 18	 3.796	-0.25	  53	 3.44	 3.3	  -52	  -35	   20	 7.047	 0.317	 0.143	 0.420	Simbad
HD 102990  	A   	11 51 21.8	-12 11 16	 3.822	-0.05	  45	 3.07	 1.7	  -48	  -22	    2	 6.340	 0.265	 0.157	 0.500	Simbad
HD 103002  	    	11 51 26.0	-23 50 48	 3.812	 0.03	  79	 3.48	 1.5	  -40	  -33	  -15	 7.970	 0.289	 0.164	 0.491	Simbad
HD 103004  	    	11 51 21.3	-54 50 42	 3.779	-0.17	 173	 3.26	 5.0	  -12	    8	    5	 9.452	 0.357	 0.157	 0.422	Simbad
HD 103012  	AB  	11 51 43.4	+44 47 53	 3.763	 0.09	 104	 3.58	 5.8	  -21	  -13	    6	 8.676	 0.405	 0.205	 0.415	Simbad
HD 103014  	    	11 51 32.8	-21 38 08	 3.819	-0.04	  97	 2.64	 1.8	     	     	     	 7.567	 0.272	 0.158	 0.473	Simbad
HD 103017  	    	11 51 31.8	-40 41 14	 3.804	-0.07	 190	 1.36	 1.3	     	     	     	 7.748	 0.305	 0.159	 0.651	Simbad
HD 103021  	    	11 51 20.8	-68 51 38	 3.793	-0.48	  72	 3.28	 4.7	  -11	    6	    8	 7.557	 0.317	 0.123	 0.414	Simbad
HD 103026  	    	11 51 41.6	-30 50 05	 3.786	-0.05	  31	 3.40	 3.3	   25	  -44	  -20	 5.870	 0.347	 0.171	 0.394	Simbad
HD 103045  	    	11 52 07.6	+61 42 33	 3.818	-0.25	 182	 1.79	 1.5	  -11	   -6	   15	 8.098	 0.269	 0.146	 0.558	Simbad
HD 103046  	B   	11 51 56.5	+08 49 21	 3.806	 0.04	  99	 2.94	 2.1	   12	  -18	  -11	 7.918	 0.302	 0.166	 0.470	Simbad
HD 103051  	    	11 51 46.9	-41 14 50	 3.807	-0.12	 133	 1.74	 1.5	  -13	    5	   17	 7.355	 0.297	 0.152	 0.483	Simbad
HD 103076  	AB  	11 52 00.9	-43 57 30	 3.746	-0.13	  90	 3.62	 8.5	     	     	     	 8.402	 0.430	 0.230	 0.316	Simbad
HD 103095  	    	11 52 58.7	+37 43 07	 3.702	-1.36	   9	 6.64	    	  278	 -157	  -15	 6.429	 0.484	 0.224	 0.166	Simbad
HD 103110  	    	11 52 30.9	+20 24 35	 3.805	-0.18	  77	 2.84	 2.4	  -34	   -5	  -12	 7.268	 0.300	 0.148	 0.426	Simbad
HD 103111  	    	11 52 30.1	+15 50 44	 3.718	-0.20	  68	 3.81	 8.9	   18	  -38	   16	 7.961	 0.480	 0.261	 0.347	Simbad
HD 103116  	AB  	11 52 20.0	-19 58 17	 3.738	-0.51	    	     	    	     	     	     	 8.856	 0.434	 0.170	 0.341	Simbad
HD 103123  	    	11 52 15.4	-37 45 09	 3.808	-0.08	 106	 3.04	 2.3	  -21	   -4	  -14	 8.180	 0.295	 0.158	 0.546	Simbad
HD 103130  	    	11 52 27.0	-14 07 38	 3.777	-0.17	  64	 3.63	 5.9	  -58	  -19	   -3	 7.665	 0.364	 0.170	 0.357	Simbad
HD 103150  	    	11 52 45.5	+47 32 47	 3.787	-0.26	  92	 3.64	 3.9	   -1	  -45	    0	 8.453	 0.335	 0.149	 0.381	Simbad
HD 103174  	    	11 52 42.1	-37 59 12	 3.819	 0.05	 139	 2.01	 1.4	     	     	     	 7.726	 0.274	 0.169	 0.740	Simbad
HD 103220  	    	11 53 04.7	-45 29 01	 3.738	 0.04	  78	 4.30	12.3	     	     	     	 8.771	 0.452	 0.242	 0.391	Simbad
HD 103246  	ABC 	11 53 43.0	+73 45 21	 3.783	 0.16	  58	 2.97	 2.5	   13	  -49	   -8	 6.792	 0.362	 0.196	 0.412	Simbad
HD 103248  	    	11 53 33.4	+56 17 58	 3.793	 0.09	 124	 2.68	 2.2	  -19	  -48	   -6	 8.150	 0.334	 0.175	 0.468	Simbad
HD 103257  	    	11 53 16.8	-36 34 38	 3.842	-0.39	  63	 2.62	 1.7	     	     	     	 6.625	 0.213	 0.151	 0.648	Simbad
HD 103262  	AB  	11 53 32.8	+03 30 59	 3.711	-0.23	  58	 5.91	    	   13	  -64	  -14	 9.715	 0.492	 0.321	 0.294	Simbad
HD 103272  	A   	11 53 38.2	+42 54 57	 3.815	-0.21	 118	 2.72	 2.1	   20	   -1	   -7	 8.076	 0.278	 0.145	 0.513	Simbad
HD 103294  	    	11 53 37.0	-28 16 43	 3.819	-0.07	 133	 3.02	 1.8	     	     	     	 8.644	 0.271	 0.155	 0.502	Simbad
HD 103295  	    	11 53 37.0	-28 38 12	 3.694	-1.01	    	     	    	     	     	     	 9.587	 0.511	 0.190	 0.326	Simbad
BD -01 2582	    	11 53 37.3	-02 00 36	 3.696	-1.53	    	     	    	     	     	     	 9.595	 0.493	 0.097	 0.298	Simbad
HD 103321  	AB  	11 54 04.2	+71 55 27	 3.800	-0.07	  89	 2.81	 2.3	  -25	  -21	   -8	 7.554	 0.312	 0.158	 0.440	Simbad
HD 103354  	    	11 54 07.7	+18 10 10	 3.796	-0.18	 103	 2.79	 2.5	    1	   -4	  -39	 7.849	 0.318	 0.148	 0.455	Simbad
HD 103381  	    	11 54 05.3	-29 58 57	 3.739	-0.24	  45	 5.18	14.5	  -16	  -27	   -4	 8.442	 0.440	 0.243	 0.284	Simbad
HD 103389  	    	11 54 22.7	+10 02 56	 3.819	-0.34	 145	 2.16	 1.8	  -26	  -32	   57	 7.966	 0.267	 0.134	 0.508	Simbad
HD 103419  	    	11 54 33.7	+17 52 50	 3.744	-0.07	  63	 5.36	    	  -20	   -3	   13	 9.340	 0.437	 0.261	 0.298	Simbad
HD 103420  	    	11 54 33.4	+14 09 04	 3.817	 0.00	  88	 3.10	 1.7	  -23	  -23	  -21	 7.826	 0.276	 0.162	 0.465	Simbad
HD 103431  	B   	11 54 35.0	+19 25 40	 3.740	-0.20	  38	 5.49	    	  -72	  -39	  -13	 8.415	 0.440	 0.250	 0.285	Simbad
HD 103432  	A   	11 54 32.0	+19 24 40	 3.751	-0.18	  41	 5.17	 0.8	  -75	  -41	  -14	 8.207	 0.418	 0.229	 0.286	Simbad
HD 103437  	AB  	11 54 25.8	-37 44 56	 3.782	-0.46	  51	 2.95	 4.2	  -76	  -19	  -10	 6.470	 0.341	 0.130	 0.381	Simbad
HD 103440  	    	11 54 33.4	-54 38 04	 3.768	-0.11	 112	 3.57	 6.4	    0	  -61	  -10	 8.812	 0.386	 0.177	 0.393	Simbad
HD 103461  	    	11 54 48.2	-23 33 00	 3.801	-0.25	 164	 1.97	 1.9	  -29	   -7	   -8	 8.054	 0.307	 0.142	 0.509	Simbad
HD 103474  	    	11 55 09.0	+72 23 20	 3.796	-0.51	 106	 3.05	 4.2	   58	  -13	  -28	 8.190	 0.311	 0.122	 0.377	Simbad
HD 103482  	    	11 54 44.6	-66 22 34	 3.829	-0.10	  44	 3.18	 1.4	     	     	     	 6.376	 0.248	 0.161	 0.523	Simbad
HD 103486  	    	11 55 00.7	-00 33 22	 3.818	-0.02	 300	 0.96	 1.1	  -48	  -26	  -24	 8.350	 0.275	 0.163	 0.651	Simbad
HD 103493  	AB  	11 55 01.3	-56 05 45	 3.757	-0.31	  30	 4.30	11.8	   72	  -70	  -11	 6.704	 0.401	 0.194	 0.288	Simbad
HD 103539  	    	11 55 40.5	+67 15 53	 3.780	 0.04	  89	 2.55	 2.3	   39	  -29	  -43	 7.295	 0.365	 0.178	 0.449	Simbad
HD 103541  	    	11 55 29.2	+51 00 08	 3.784	 0.03	  71	 4.62	    	   20	  -31	    1	 8.862	 0.355	 0.179	 0.408	Simbad
BD -21 3420	    	11 55 28.4	-22 23 13	 3.768	-1.15	 130	 4.56	12.8	  -29	 -109	 -109	10.128	 0.362	 0.101	 0.256	Simbad
HD 103548  	    	11 55 23.8	+01 05 45	 3.831	-0.03	  80	 2.64	 1.5	     	     	     	 7.164	 0.244	 0.167	 0.567	Simbad
HD 103559  	    	11 55 15.5	-66 24 32	 3.743	-0.18	  41	 5.33	 0.9	    1	   10	  -11	 8.394	 0.434	 0.233	 0.305	Simbad
HD 103588  	    	11 55 32.3	-54 08 27	 3.717	-0.70	    	     	    	     	     	     	 9.566	 0.469	 0.202	 0.285	Simbad
HD 103589  	    	11 55 28.8	-62 11 47	 3.818	-0.20	 117	 2.52	 2.0	     	     	     	 7.867	 0.271	 0.149	 0.535	Simbad
HD 103592  	    	11 55 51.9	+59 40 25	 3.762	 0.00	 136	 2.99	 4.4	   23	  -30	   16	 8.660	 0.403	 0.202	 0.380	Simbad
HD 103613  	    	11 56 00.2	+35 20 25	 3.789	-0.09	  72	 2.46	 2.2	   -1	  -10	  -19	 6.748	 0.337	 0.161	 0.420	Simbad
HD 103616  	    	11 55 51.3	-21 39 33	 3.698	-0.35	 103	 2.61	    	   15	  -46	  -47	 7.674	 0.513	 0.314	 0.319	Simbad
HD 103628  	A   	11 56 00.8	+21 58 54	 3.793	 0.01	 123	 2.59	 2.3	  -31	  -21	    6	 8.040	 0.331	 0.166	 0.486	Simbad
HD 103639  	    	11 55 52.9	-52 44 10	 3.760	-0.21	  94	 4.89	 5.0	  -95	  -56	  -13	 9.751	 0.399	 0.199	 0.305	Simbad
HD 103645  	    	11 56 11.3	+33 11 54	 3.772	-0.04	  78	 4.64	 0.6	  -19	  -10	   -7	 9.113	 0.379	 0.196	 0.343	Simbad
HD 103659  	AB  	11 56 17.2	+35 26 51	 3.821	 0.06	 176	 0.39	 0.9	  -51	  -48	  -22	 6.617	 0.270	 0.171	 0.662	Simbad
HD 103676  	    	11 56 20.6	+26 40 46	 3.827	 0.00	  64	 2.78	 1.5	  -40	  -15	   -3	 6.794	 0.252	 0.168	 0.541	Simbad
HD 103702  	    	11 56 20.9	-53 53 59	 3.839	-0.05	 168	 2.02	 1.3	     	     	     	 8.142	 0.222	 0.170	 0.699	Simbad
HD 103721  	    	11 56 45.5	-10 43 28	 3.812	-0.15	  60	 3.54	 1.9	   29	  -13	   -4	 7.422	 0.285	 0.151	 0.420	Simbad
HD 103742  	B   	11 56 42.3	-32 16 05	 3.756	-0.22	  36	 4.86	 9.1	  -24	  -18	   -4	 7.643	 0.406	 0.199	 0.311	Simbad
HD 103743  	A   	11 56 43.7	-32 16 02	 3.752	-0.20	  34	 5.18	    	  -23	  -19	   -3	 7.849	 0.416	 0.221	 0.290	Simbad
HD 103746  	    	11 56 43.9	-47 04 20	 3.826	 0.08	  48	 2.83	 1.4	  -24	  -19	    1	 6.260	 0.258	 0.174	 0.564	Simbad
HD 103753  	    	11 56 56.2	-13 45 16	 3.777	-0.02	  54	 2.91	 2.7	   29	  -42	    3	 6.552	 0.369	 0.175	 0.433	Simbad
HD 103760  	    	11 56 51.1	-38 50 57	 3.755	-0.02	  49	 4.50	 8.9	   18	  -21	    7	 7.942	 0.417	 0.207	 0.380	Simbad
HD 103768  	    	11 57 01.7	+47 47 46	 3.748	 0.27	  97	 3.79	 6.8	   64	  -48	    7	 8.723	 0.443	 0.266	 0.393	Simbad
HD 103773  	    	11 57 00.2	-04 46 57	 3.805	-0.01	  46	 3.40	 2.3	  -29	  -22	    6	 6.731	 0.303	 0.164	 0.438	Simbad
HD 103774  	    	11 56 55.5	-12 06 28	 3.805	 0.10	  55	 3.41	 1.8	  -27	  -15	  -13	 7.135	 0.307	 0.174	 0.450	Simbad
HD 103794  	    	11 57 17.7	+62 13 51	 3.766	-0.20	 118	 3.17	 5.0	    3	  -14	   -1	 8.532	 0.387	 0.180	 0.342	Simbad
HD 103799  	    	11 57 14.5	+40 20 37	 3.790	-0.34	  45	 3.35	 4.8	  -33	  -23	   25	 6.620	 0.326	 0.136	 0.427	Simbad
HD 103817  	AB  	11 57 18.4	-22 32 21	 3.785	-0.41	  85	 2.83	 3.8	   27	   -9	  -26	 7.487	 0.337	 0.137	 0.357	Simbad
HD 103840  	    	11 57 15.6	-48 44 36	 3.756	-0.41	  39	 5.23	 0.2	  -13	  -16	   -5	 8.169	 0.401	 0.174	 0.302	Simbad
HD 103846  	    	11 57 34.9	+28 33 18	 3.841	-0.03	 165	 1.95	 1.2	  -35	  -19	  -17	 8.029	 0.216	 0.173	 0.725	Simbad
HD 103847  	    	11 57 28.9	+19 59 02	 3.720	 0.14	  28	 5.83	    	  -49	  -17	   -5	 8.055	 0.489	 0.346	 0.341	Simbad
HD 103854  	    	11 57 30.1	-39 13 04	 3.721	-0.32	  47	 5.68	16.5	   45	  -25	   -1	 9.048	 0.472	 0.327	 0.241	Simbad
HD 103868  	    	11 57 30.9	-27 03 21	 3.814	-0.20	  53	 3.37	 2.3	  -11	   -6	  -23	 7.010	 0.279	 0.145	 0.450	Simbad
HD 103890  	    	11 57 46.1	-08 16 31	 3.793	 0.05	  65	 3.92	 1.7	    5	  -39	    8	 7.998	 0.332	 0.178	 0.398	Simbad
HD 103891  	    	11 57 45.3	-08 32 55	 3.781	-0.13	  57	 2.81	 2.6	  -27	  -16	    7	 6.591	 0.356	 0.164	 0.399	Simbad
HD 103902  	    	11 58 05.7	+80 37 55	 3.788	 0.13	 106	 3.05	 2.5	  -60	   14	   49	 8.177	 0.348	 0.187	 0.419	Simbad
HD 103913  	    	11 58 04.3	+25 08 16	 3.771	-0.16	  86	 3.59	 6.3	   26	   12	   13	 8.262	 0.376	 0.171	 0.374	Simbad
HD 103914  	    	11 58 01.0	+14 02 16	 3.765	-0.31	 103	 3.36	 6.2	  -45	   15	   -4	 8.425	 0.384	 0.163	 0.348	Simbad
